trans_id,trans_type_id,trans_status_id,trans_amount,merchant_id,user_id,session_id,account_number,created_at,updated_at,load_created_at
25,1,3,21720.39,10,16,25,97568832,2023-08-09 07:31:52,2023-08-09 07:33:52,2023-08-09 07:34:52
26,1,3,91625.21,50,5,26,96229025,2024-04-27 15:17:11,2024-04-27 15:18:11,2024-04-27 15:19:11
27,1,1,69494.12,50,3,0,70359428,2024-02-09 04:32:22,2024-02-09 04:35:22,2024-02-09 04:36:22
28,1,1,54993.32,10,15,0,79834266,2024-01-08 06:27:03,2024-01-08 06:30:03,2024-01-08 06:31:03
29,1,2,30715.25,50,13,29,61869615,2023-09-28 17:07:09,2023-09-28 17:12:09,2023-09-28 17:13:09
30,1,3,50968.43,20,9,30,52164352,2024-06-11 21:34:50,2024-06-11 21:38:50,2024-06-11 21:39:50
31,1,3,85302.36,10,13,31,61869615,2023-10-12 10:14:11,2023-10-12 10:15:11,2023-10-12 10:16:11
32,1,2,59761.04,20,19,32,19345012,2024-08-02 07:47:16,2024-08-02 07:48:16,2024-08-02 07:49:16
33,1,3,92366.01,30,2,33,23951580,2024-06-04 21:26:11,2024-06-04 21:27:11,2024-06-04 21:28:11
34,1,2,93660.64,10,5,34,96229025,2024-04-11 04:06:42,2024-04-11 04:11:42,2024-04-11 04:12:42
35,1,2,4890.37,30,19,35,19345012,2023-09-04 14:14:01,2023-09-04 14:17:01,2023-09-04 14:18:01
36,1,2,47557.23,50,7,36,46096691,2023-08-15 22:15:09,2023-08-15 22:16:09,2023-08-15 22:17:09
37,1,3,4855.17,30,6,37,69623614,2023-09-21 07:54:54,2023-09-21 07:59:54,2023-09-21 08:00:54
38,1,3,82495.3,10,2,38,92436552,2024-03-31 12:11:51,2024-03-31 12:15:51,2024-03-31 12:16:51
39,1,3,56065.2,30,7,39,46096691,2024-07-24 08:05:10,2024-07-24 08:09:10,2024-07-24 08:10:10
40,1,3,7735.12,30,20,40,35011346,2024-03-22 20:50:41,2024-03-22 20:51:41,2024-03-22 20:52:41
41,1,1,21928.09,20,5,0,96229025,2024-09-23 11:08:51,2024-09-23 11:13:51,2024-09-23 11:14:51
42,1,3,4121.06,50,13,42,61869615,2023-11-18 23:50:59,2023-11-18 23:55:59,2023-11-18 23:56:59
43,1,3,16647.1,50,6,43,69623614,2023-12-23 06:13:15,2023-12-23 06:17:15,2023-12-23 06:18:15
44,1,3,3279.47,10,9,44,29993920,2023-07-09 18:09:58,2023-07-09 18:13:58,2023-07-09 18:14:58
45,1,3,79085.45,50,1,45,66760199,2023-11-23 09:56:45,2023-11-23 10:00:45,2023-11-23 10:01:45
46,1,3,33365.59,20,2,46,92436552,2024-11-20 06:57:08,2024-11-20 07:00:08,2024-11-20 07:01:08
47,1,3,47070.29,30,6,47,69623614,2023-10-10 10:12:58,2023-10-10 10:13:58,2023-10-10 10:14:58
48,1,3,73868.47,50,14,48,91663348,2023-10-18 16:57:40,2023-10-18 17:02:40,2023-10-18 17:03:40
49,1,3,65730.5,20,18,49,19974284,2024-09-23 21:02:44,2024-09-23 21:05:44,2024-09-23 21:06:44
50,1,3,6734.75,20,3,50,70359428,2024-01-20 08:53:32,2024-01-20 08:58:32,2024-01-20 08:59:32
51,1,3,23570.4,30,3,51,70359428,2024-03-24 00:26:38,2024-03-24 00:29:38,2024-03-24 00:30:38
52,1,3,3127.1,20,20,52,66816991,2024-04-21 16:24:55,2024-04-21 16:28:55,2024-04-21 16:29:55
53,1,3,73078.15,50,18,53,19974284,2023-12-08 16:09:54,2023-12-08 16:10:54,2023-12-08 16:11:54
54,1,3,57735.25,40,7,54,46096691,2023-05-10 16:38:25,2023-05-10 16:43:25,2023-05-10 16:44:25
55,1,3,8559.9,40,19,55,19345012,2023-10-13 14:55:23,2023-10-13 15:00:23,2023-10-13 15:01:23
56,1,2,13586.83,20,15,56,79834266,2024-07-15 07:44:12,2024-07-15 07:47:12,2024-07-15 07:48:12
57,1,3,78366.58,40,10,57,45610882,2023-10-17 08:21:34,2023-10-17 08:25:34,2023-10-17 08:26:34
58,1,3,26226.06,10,3,58,70359428,2023-08-18 13:30:18,2023-08-18 13:31:18,2023-08-18 13:32:18
59,1,3,6951.31,40,7,59,46096691,2023-07-19 18:13:27,2023-07-19 18:17:27,2023-07-19 18:18:27
60,1,2,69346.92,40,4,60,67517548,2023-07-02 12:17:27,2023-07-02 12:18:27,2023-07-02 12:19:27
61,1,2,15857.01,20,5,61,99020182,2024-07-18 22:18:33,2024-07-18 22:21:33,2024-07-18 22:22:33
62,1,3,46667.75,30,8,62,41391548,2024-05-13 14:03:14,2024-05-13 14:06:14,2024-05-13 14:07:14
63,1,3,91299.37,10,5,63,99020182,2024-02-08 17:43:36,2024-02-08 17:45:36,2024-02-08 17:46:36
64,1,2,2988.71,10,10,64,45610882,2023-09-02 05:29:27,2023-09-02 05:34:27,2023-09-02 05:35:27
65,1,3,33992.7,30,10,65,45610882,2024-03-21 19:11:16,2024-03-21 19:15:16,2024-03-21 19:16:16
66,1,1,31342.92,30,3,0,72547969,2023-11-14 08:08:52,2023-11-14 08:12:52,2023-11-14 08:13:52
67,1,3,56128.77,30,4,67,67517548,2023-09-07 17:29:45,2023-09-07 17:31:45,2023-09-07 17:32:45
68,1,2,27290.76,50,3,68,70359428,2023-10-31 14:36:39,2023-10-31 14:40:39,2023-10-31 14:41:39
69,1,2,44197.1,10,12,69,43074592,2024-05-03 05:25:11,2024-05-03 05:30:11,2024-05-03 05:31:11
70,1,3,27733.87,50,2,70,92436552,2023-08-10 23:47:22,2023-08-10 23:50:22,2023-08-10 23:51:22
71,1,1,49061.72,20,19,0,19345012,2024-02-19 05:42:11,2024-02-19 05:44:11,2024-02-19 05:45:11
72,1,1,48568.36,50,17,0,54375989,2023-09-10 18:36:17,2023-09-10 18:41:17,2023-09-10 18:42:17
73,1,3,91416.63,20,2,73,92436552,2024-01-06 05:25:28,2024-01-06 05:28:28,2024-01-06 05:29:28
74,1,3,8340.37,10,16,74,97568832,2024-02-06 07:50:15,2024-02-06 07:52:15,2024-02-06 07:53:15
75,1,3,70209.86,30,3,75,70359428,2024-05-04 08:39:53,2024-05-04 08:40:53,2024-05-04 08:41:53
76,1,3,740.04,40,17,76,54375989,2023-04-30 02:54:07,2023-04-30 02:55:07,2023-04-30 02:56:07
77,1,3,55823.4,20,5,77,96229025,2023-12-29 01:24:34,2023-12-29 01:25:34,2023-12-29 01:26:34
78,1,2,16998.55,30,11,78,88887346,2024-04-01 21:31:06,2024-04-01 21:34:06,2024-04-01 21:35:06
79,1,3,20668.54,10,15,79,79834266,2023-07-18 17:12:09,2023-07-18 17:17:09,2023-07-18 17:18:09
80,1,3,83464.65,10,4,80,67517548,2024-03-01 20:33:31,2024-03-01 20:36:31,2024-03-01 20:37:31
81,1,3,39251.46,20,16,81,97568832,2024-05-16 06:44:13,2024-05-16 06:45:13,2024-05-16 06:46:13
82,1,2,24719.66,20,5,82,96229025,2024-03-04 13:28:37,2024-03-04 13:29:37,2024-03-04 13:30:37
83,1,2,74861.61,40,9,83,52164352,2023-09-27 15:07:50,2023-09-27 15:12:50,2023-09-27 15:13:50
84,1,3,51549.45,10,14,84,91663348,2023-11-15 15:33:55,2023-11-15 15:36:55,2023-11-15 15:37:55
85,1,3,44246.16,10,12,85,43074592,2023-10-24 08:27:27,2023-10-24 08:32:27,2023-10-24 08:33:27
86,1,2,67046.22,30,19,86,19345012,2023-11-29 06:55:20,2023-11-29 07:00:20,2023-11-29 07:01:20
87,1,3,22215.59,50,20,87,66816991,2023-12-20 01:19:05,2023-12-20 01:21:05,2023-12-20 01:22:05
88,1,3,2799.93,20,12,88,43074592,2024-01-14 19:04:38,2024-01-14 19:08:38,2024-01-14 19:09:38
89,1,3,95365.97,30,7,89,46096691,2023-08-16 16:54:30,2023-08-16 16:55:30,2023-08-16 16:56:30
90,1,3,24370.66,10,2,90,92436552,2023-12-22 19:52:56,2023-12-22 19:57:56,2023-12-22 19:58:56
91,1,3,52562.36,40,6,91,69623614,2023-07-19 07:57:03,2023-07-19 08:02:03,2023-07-19 08:03:03
92,1,3,44990.16,30,6,92,69623614,2023-11-03 23:04:11,2023-11-03 23:06:11,2023-11-03 23:07:11
93,1,3,41006.76,10,19,93,19345012,2023-09-08 02:28:47,2023-09-08 02:32:47,2023-09-08 02:33:47
94,1,3,94517.37,50,16,94,97568832,2024-06-16 10:12:58,2024-06-16 10:15:58,2024-06-16 10:16:58
95,1,2,42751.83,40,8,95,12951768,2023-05-27 05:35:27,2023-05-27 05:36:27,2023-05-27 05:37:27
96,1,3,96845.79,30,2,96,23951580,2024-03-29 09:27:02,2024-03-29 09:31:02,2024-03-29 09:32:02
97,1,3,95019.44,40,4,97,67517548,2024-02-01 15:13:58,2024-02-01 15:15:58,2024-02-01 15:16:58
98,1,2,77292.18,10,4,98,67517548,2023-10-03 16:51:32,2023-10-03 16:56:32,2023-10-03 16:57:32
99,1,2,90377.56,50,1,99,66760199,2023-08-05 08:59:26,2023-08-05 09:04:26,2023-08-05 09:05:26
100,1,2,83844.83,50,19,100,19345012,2024-03-23 12:32:54,2024-03-23 12:34:54,2024-03-23 12:35:54
101,1,3,90837.18,30,6,101,69623614,2024-08-03 23:45:11,2024-08-03 23:48:11,2024-08-03 23:49:11
102,1,3,47684.01,30,15,102,79834266,2023-09-28 18:19:10,2023-09-28 18:21:10,2023-09-28 18:22:10
103,1,3,25554.89,20,15,103,94524600,2024-12-04 05:22:53,2024-12-04 05:27:53,2024-12-04 05:28:53
104,1,2,14781.48,50,2,104,23951580,2023-09-16 20:57:43,2023-09-16 20:58:43,2023-09-16 20:59:43
105,1,3,45347.7,10,15,105,94524600,2023-12-14 08:38:33,2023-12-14 08:39:33,2023-12-14 08:40:33
106,1,3,40780.49,40,12,106,43074592,2023-08-05 10:00:04,2023-08-05 10:01:04,2023-08-05 10:02:04
107,1,2,24893.55,40,9,107,29993920,2023-05-11 13:31:49,2023-05-11 13:32:49,2023-05-11 13:33:49
108,1,3,89094.16,40,18,108,19974284,2024-01-08 18:51:11,2024-01-08 18:56:11,2024-01-08 18:57:11
109,1,3,56547.03,30,9,109,52164352,2024-04-16 18:04:10,2024-04-16 18:09:10,2024-04-16 18:10:10
110,1,1,3980.59,30,13,0,61869615,2024-03-22 13:34:26,2024-03-22 13:37:26,2024-03-22 13:38:26
111,1,3,87517.36,40,11,111,88887346,2023-07-25 06:44:10,2023-07-25 06:49:10,2023-07-25 06:50:10
112,1,2,38969.09,40,17,112,54375989,2023-05-11 15:45:41,2023-05-11 15:49:41,2023-05-11 15:50:41
113,1,2,71355.72,20,20,113,66816991,2024-03-13 22:33:56,2024-03-13 22:35:56,2024-03-13 22:36:56
114,1,1,3092.25,50,15,0,79834266,2023-08-30 16:53:19,2023-08-30 16:58:19,2023-08-30 16:59:19
115,1,2,40678.21,40,6,115,69623614,2023-05-22 08:14:04,2023-05-22 08:17:04,2023-05-22 08:18:04
116,1,3,64316.51,50,2,116,92436552,2023-11-03 12:32:20,2023-11-03 12:37:20,2023-11-03 12:38:20
117,1,3,92967.29,50,20,117,66816991,2023-07-05 00:46:51,2023-07-05 00:50:51,2023-07-05 00:51:51
118,1,2,7813.96,40,16,118,97568832,2023-11-06 00:12:01,2023-11-06 00:16:01,2023-11-06 00:17:01
119,1,2,67283.54,10,10,119,47993642,2023-06-28 01:41:47,2023-06-28 01:42:47,2023-06-28 01:43:47
120,1,2,69735.96,40,17,120,54375989,2023-07-04 04:11:03,2023-07-04 04:16:03,2023-07-04 04:17:03
121,1,3,26361.99,10,11,121,88887346,2024-02-28 21:15:25,2024-02-28 21:17:25,2024-02-28 21:18:25
122,1,1,5662.39,20,15,0,79834266,2024-12-13 19:38:55,2024-12-13 19:40:55,2024-12-13 19:41:55
123,1,3,10544.41,30,4,123,67517548,2023-10-27 22:07:13,2023-10-27 22:10:13,2023-10-27 22:11:13
124,1,1,17819.3,30,7,0,46096691,2024-05-06 15:53:27,2024-05-06 15:54:27,2024-05-06 15:55:27
125,1,3,12691.94,20,16,125,97568832,2024-11-03 01:18:09,2024-11-03 01:22:09,2024-11-03 01:23:09
126,1,3,56656.0,40,8,126,12951768,2023-04-01 23:21:05,2023-04-01 23:24:05,2023-04-01 23:25:05
127,1,3,97968.7,20,12,127,43074592,2024-10-29 10:36:21,2024-10-29 10:38:21,2024-10-29 10:39:21
128,1,2,90995.86,10,11,128,88887346,2023-10-01 01:02:34,2023-10-01 01:05:34,2023-10-01 01:06:34
129,1,2,48927.64,50,17,129,54375989,2023-08-27 18:38:58,2023-08-27 18:43:58,2023-08-27 18:44:58
130,1,1,53933.99,50,10,0,47993642,2023-10-22 03:19:04,2023-10-22 03:21:04,2023-10-22 03:22:04
131,1,3,23834.72,50,19,131,19345012,2023-12-10 05:22:17,2023-12-10 05:23:17,2023-12-10 05:24:17
132,1,1,90104.88,20,17,0,54375989,2024-06-21 03:22:12,2024-06-21 03:26:12,2024-06-21 03:27:12
133,1,3,74203.68,40,18,133,19974284,2023-12-08 18:16:44,2023-12-08 18:18:44,2023-12-08 18:19:44
134,1,3,85924.92,40,12,134,43074592,2024-01-15 17:25:47,2024-01-15 17:27:47,2024-01-15 17:28:47
135,1,3,65214.74,30,3,135,72547969,2024-03-15 15:09:38,2024-03-15 15:13:38,2024-03-15 15:14:38
136,1,3,51025.08,30,2,136,92436552,2024-06-16 17:44:57,2024-06-16 17:49:57,2024-06-16 17:50:57
137,1,1,16830.21,50,5,0,99020182,2023-10-13 23:02:45,2023-10-13 23:06:45,2023-10-13 23:07:45
138,1,2,14974.58,20,16,138,97568832,2024-09-29 17:48:12,2024-09-29 17:51:12,2024-09-29 17:52:12
139,1,3,59631.29,40,9,139,52164352,2023-07-10 07:12:33,2023-07-10 07:14:33,2023-07-10 07:15:33
140,1,2,90025.85,10,11,140,88887346,2024-03-18 05:01:53,2024-03-18 05:02:53,2024-03-18 05:03:53
141,1,3,59241.9,30,6,141,69623614,2023-10-05 11:35:14,2023-10-05 11:39:14,2023-10-05 11:40:14
142,1,1,97898.4,40,7,0,46096691,2023-05-29 17:30:13,2023-05-29 17:34:13,2023-05-29 17:35:13
143,1,1,57730.03,30,6,0,69623614,2024-03-31 10:12:13,2024-03-31 10:13:13,2024-03-31 10:14:13
144,1,2,82346.2,30,8,144,12951768,2023-11-04 00:16:20,2023-11-04 00:21:20,2023-11-04 00:22:20
145,1,3,88289.74,50,5,145,96229025,2024-02-19 13:07:18,2024-02-19 13:08:18,2024-02-19 13:09:18
146,1,2,37968.23,10,20,146,35011346,2024-06-21 12:12:42,2024-06-21 12:13:42,2024-06-21 12:14:42
147,1,3,86150.58,30,2,147,92436552,2024-04-17 03:19:16,2024-04-17 03:22:16,2024-04-17 03:23:16
148,1,3,59443.01,50,18,148,19974284,2024-01-25 00:02:11,2024-01-25 00:05:11,2024-01-25 00:06:11
149,1,3,23995.17,50,14,149,91663348,2023-12-23 08:18:11,2023-12-23 08:20:11,2023-12-23 08:21:11
150,1,1,53237.96,40,12,0,43074592,2023-10-20 16:19:23,2023-10-20 16:21:23,2023-10-20 16:22:23
151,1,3,81502.73,50,14,151,91663348,2024-04-26 17:40:07,2024-04-26 17:43:07,2024-04-26 17:44:07
152,1,2,8990.87,50,13,152,61869615,2024-02-20 06:30:46,2024-02-20 06:34:46,2024-02-20 06:35:46
153,1,3,89634.76,10,19,153,19345012,2024-05-10 10:29:03,2024-05-10 10:34:03,2024-05-10 10:35:03
154,1,3,86127.18,30,10,154,47993642,2024-05-30 17:52:02,2024-05-30 17:53:02,2024-05-30 17:54:02
155,1,1,1121.03,10,15,0,94524600,2023-12-08 03:10:05,2023-12-08 03:13:05,2023-12-08 03:14:05
156,1,2,31308.3,50,17,156,54375989,2024-01-25 19:29:33,2024-01-25 19:32:33,2024-01-25 19:33:33
157,1,2,22913.86,30,3,157,72547969,2023-12-24 00:22:46,2023-12-24 00:26:46,2023-12-24 00:27:46
158,1,3,30945.76,10,2,158,92436552,2024-02-27 17:30:40,2024-02-27 17:31:40,2024-02-27 17:32:40
159,1,3,46141.61,40,11,159,88887346,2023-11-13 16:03:14,2023-11-13 16:04:14,2023-11-13 16:05:14
160,1,3,7388.56,50,3,160,70359428,2024-04-13 09:51:05,2024-04-13 09:55:05,2024-04-13 09:56:05
161,1,3,21752.64,30,3,161,72547969,2023-09-20 04:30:12,2023-09-20 04:33:12,2023-09-20 04:34:12
162,1,3,93417.27,40,15,162,79834266,2023-11-07 16:40:09,2023-11-07 16:42:09,2023-11-07 16:43:09
163,1,3,4090.91,40,13,163,61869615,2023-08-10 04:49:54,2023-08-10 04:53:54,2023-08-10 04:54:54
164,1,3,92663.32,20,16,164,97568832,2024-08-24 20:50:23,2024-08-24 20:54:23,2024-08-24 20:55:23
165,1,2,30635.62,50,9,165,29993920,2023-10-09 08:46:12,2023-10-09 08:48:12,2023-10-09 08:49:12
166,1,3,19727.83,40,3,166,70359428,2023-03-30 18:26:58,2023-03-30 18:27:58,2023-03-30 18:28:58
167,1,3,20965.77,10,20,167,66816991,2023-11-01 10:32:38,2023-11-01 10:36:38,2023-11-01 10:37:38
168,1,3,62096.93,50,13,168,61869615,2023-10-31 15:48:36,2023-10-31 15:50:36,2023-10-31 15:51:36
169,1,3,7307.85,50,9,169,29993920,2023-12-05 01:06:03,2023-12-05 01:10:03,2023-12-05 01:11:03
170,1,3,37541.37,20,14,170,91663348,2024-03-24 17:36:31,2024-03-24 17:40:31,2024-03-24 17:41:31
171,1,3,9587.9,50,7,171,46096691,2024-06-27 04:40:19,2024-06-27 04:45:19,2024-06-27 04:46:19
172,1,3,81920.23,40,9,172,29993920,2023-07-26 03:15:46,2023-07-26 03:20:46,2023-07-26 03:21:46
173,1,3,95920.14,10,7,173,46096691,2023-08-25 17:13:24,2023-08-25 17:18:24,2023-08-25 17:19:24
174,1,3,11266.58,10,13,174,61869615,2024-03-06 08:45:02,2024-03-06 08:50:02,2024-03-06 08:51:02
175,1,3,64320.72,10,4,175,67517548,2023-08-21 12:57:09,2023-08-21 13:01:09,2023-08-21 13:02:09
176,1,3,13968.56,10,16,176,97568832,2023-09-07 21:48:54,2023-09-07 21:53:54,2023-09-07 21:54:54
177,1,1,82038.66,10,11,0,88887346,2024-01-04 01:27:55,2024-01-04 01:29:55,2024-01-04 01:30:55
178,1,3,76526.99,50,11,178,88887346,2023-07-26 11:28:55,2023-07-26 11:31:55,2023-07-26 11:32:55
179,1,3,49807.89,20,4,179,67517548,2024-07-26 07:00:47,2024-07-26 07:01:47,2024-07-26 07:02:47
180,1,3,299.42,40,16,180,97568832,2023-03-09 09:41:06,2023-03-09 09:44:06,2023-03-09 09:45:06
181,1,3,75903.92,30,4,181,67517548,2023-08-19 12:30:15,2023-08-19 12:31:15,2023-08-19 12:32:15
182,1,2,82777.3,40,18,182,19974284,2023-06-23 20:50:43,2023-06-23 20:51:43,2023-06-23 20:52:43
183,1,1,48369.44,50,11,0,88887346,2024-06-12 14:08:44,2024-06-12 14:10:44,2024-06-12 14:11:44
184,1,2,79471.28,10,8,184,12951768,2023-07-02 13:10:39,2023-07-02 13:15:39,2023-07-02 13:16:39
185,1,3,58517.73,50,14,185,91663348,2024-04-21 03:24:30,2024-04-21 03:28:30,2024-04-21 03:29:30
186,1,3,92469.67,30,17,186,54375989,2024-05-02 08:43:26,2024-05-02 08:48:26,2024-05-02 08:49:26
187,1,2,82985.4,40,19,187,19345012,2023-09-24 09:49:56,2023-09-24 09:54:56,2023-09-24 09:55:56
188,1,3,32551.04,30,19,188,19345012,2024-05-04 04:35:29,2024-05-04 04:38:29,2024-05-04 04:39:29
189,1,3,53913.49,30,1,189,66760199,2023-09-29 14:12:32,2023-09-29 14:14:32,2023-09-29 14:15:32
190,1,2,55316.92,10,9,190,29993920,2023-08-07 07:57:53,2023-08-07 07:58:53,2023-08-07 07:59:53
191,1,3,94325.16,50,8,191,41391548,2023-09-14 06:55:01,2023-09-14 06:57:01,2023-09-14 06:58:01
192,1,3,76323.4,30,17,192,54375989,2024-03-18 07:12:11,2024-03-18 07:14:11,2024-03-18 07:15:11
193,1,3,25264.07,40,2,193,92436552,2023-04-23 06:24:08,2023-04-23 06:25:08,2023-04-23 06:26:08
194,1,3,31382.7,20,20,194,66816991,2024-08-25 20:43:28,2024-08-25 20:45:28,2024-08-25 20:46:28
195,1,3,82306.4,20,1,195,66760199,2024-04-06 13:38:56,2024-04-06 13:39:56,2024-04-06 13:40:56
196,1,3,54057.27,10,7,196,46096691,2024-03-15 17:30:37,2024-03-15 17:33:37,2024-03-15 17:34:37
197,1,3,63299.72,40,17,197,54375989,2023-05-31 18:12:15,2023-05-31 18:13:15,2023-05-31 18:14:15
198,1,3,8598.9,30,17,198,54375989,2023-11-14 22:56:18,2023-11-14 22:57:18,2023-11-14 22:58:18
199,1,3,6023.26,20,3,199,70359428,2024-08-26 10:09:09,2024-08-26 10:13:09,2024-08-26 10:14:09
200,1,2,83844.66,50,5,200,99020182,2024-05-01 15:18:13,2024-05-01 15:21:13,2024-05-01 15:22:13
201,1,3,70406.86,40,19,201,19345012,2023-09-15 05:08:52,2023-09-15 05:13:52,2023-09-15 05:14:52
202,1,3,85419.16,40,16,202,97568832,2024-02-07 21:26:56,2024-02-07 21:30:56,2024-02-07 21:31:56
203,1,2,75960.35,30,1,203,66760199,2023-08-19 03:06:25,2023-08-19 03:08:25,2023-08-19 03:09:25
204,1,3,45627.75,10,16,204,97568832,2024-03-25 10:55:43,2024-03-25 10:57:43,2024-03-25 10:58:43
205,1,2,90374.58,50,11,205,88887346,2024-05-16 06:16:06,2024-05-16 06:17:06,2024-05-16 06:18:06
206,1,3,56591.1,30,8,206,41391548,2024-06-18 05:36:55,2024-06-18 05:41:55,2024-06-18 05:42:55
207,1,2,45034.76,50,7,207,46096691,2024-04-22 17:17:08,2024-04-22 17:20:08,2024-04-22 17:21:08
208,1,3,55702.39,20,5,208,96229025,2024-01-17 20:04:36,2024-01-17 20:09:36,2024-01-17 20:10:36
209,1,3,82512.98,10,6,209,69623614,2024-04-19 18:58:01,2024-04-19 19:03:01,2024-04-19 19:04:01
210,1,1,2489.69,30,2,0,92436552,2024-02-04 01:03:57,2024-02-04 01:06:57,2024-02-04 01:07:57
211,1,2,95894.65,50,5,211,99020182,2023-07-03 04:30:42,2023-07-03 04:32:42,2023-07-03 04:33:42
212,1,3,67306.36,50,1,212,66760199,2024-04-06 14:14:46,2024-04-06 14:18:46,2024-04-06 14:19:46
213,1,3,70745.62,50,9,213,29993920,2024-03-16 06:36:51,2024-03-16 06:40:51,2024-03-16 06:41:51
214,1,3,51459.05,10,8,214,12951768,2023-10-03 14:52:20,2023-10-03 14:56:20,2023-10-03 14:57:20
215,1,2,97332.56,30,19,215,19345012,2024-02-18 06:31:46,2024-02-18 06:35:46,2024-02-18 06:36:46
216,1,3,67969.31,40,11,216,88887346,2023-12-08 07:42:18,2023-12-08 07:45:18,2023-12-08 07:46:18
217,1,3,25345.72,40,13,217,61869615,2023-08-28 18:50:40,2023-08-28 18:51:40,2023-08-28 18:52:40
218,1,3,87813.28,30,3,218,70359428,2023-10-25 15:30:21,2023-10-25 15:31:21,2023-10-25 15:32:21
219,1,3,17796.08,30,7,219,46096691,2023-08-06 20:31:35,2023-08-06 20:36:35,2023-08-06 20:37:35
220,1,2,48614.27,50,13,220,61869615,2023-10-07 22:45:39,2023-10-07 22:46:39,2023-10-07 22:47:39
221,1,3,42972.36,40,5,221,99020182,2024-03-02 13:02:18,2024-03-02 13:04:18,2024-03-02 13:05:18
222,1,3,9622.96,50,10,222,45610882,2024-05-26 04:47:57,2024-05-26 04:50:57,2024-05-26 04:51:57
223,1,3,61107.38,30,20,223,35011346,2024-02-25 16:05:05,2024-02-25 16:07:05,2024-02-25 16:08:05
224,1,3,78164.14,50,16,224,97568832,2023-07-01 16:47:20,2023-07-01 16:50:20,2023-07-01 16:51:20
225,1,3,96738.96,40,19,225,19345012,2023-06-15 04:37:17,2023-06-15 04:41:17,2023-06-15 04:42:17
226,1,1,27619.28,10,5,0,96229025,2024-05-05 19:50:04,2024-05-05 19:51:04,2024-05-05 19:52:04
227,1,2,89016.71,40,3,227,72547969,2023-09-13 07:45:18,2023-09-13 07:46:18,2023-09-13 07:47:18
228,1,2,86190.71,10,6,228,69623614,2024-03-30 15:30:36,2024-03-30 15:32:36,2024-03-30 15:33:36
229,1,3,31159.83,50,12,229,43074592,2024-04-24 17:49:43,2024-04-24 17:50:43,2024-04-24 17:51:43
230,1,3,45139.48,30,19,230,19345012,2024-01-27 06:05:43,2024-01-27 06:09:43,2024-01-27 06:10:43
231,1,3,75914.67,10,19,231,19345012,2023-09-12 23:05:42,2023-09-12 23:09:42,2023-09-12 23:10:42
